Card Name,early,mid,late,flexible,conditional,hard commit,resources,action space,room
Young Animal Market,0,1,1,1,0,0,cattle,0,0
Young Farmer,1,1,1,1,0,0,grain sow,improvement,0
zz_TEST0,1,0,0,1,0,0,wood,day_laborer,more
zz_TEST01,1,0,0,0,wood,0,sheep,0,0
zz_TEST02,0,1,0,0,clay,0,sheep,day_laborer,0
zz_TEST03,0,0,1,1,0,0,sheep,0,more
zz_TEST1,1,0,0,0,clay,0,wood,fishing,2
zz_TEST11,1,0,0,1,0,0,clay,0,0
zz_TEST12,0,1,0,0,wood,0,sheep,0,0
zz_TEST13,0,0,1,0,0,0,sheep,fishing,0
zz_TEST14,0,0,1,0,0,0,sheep,0,2
